id,decade,source,length,path
1860s_0000,1860s,british_library,1911,1860s/1860s_0000.txt
1860s_0001,1860s,british_library,1902,1860s/1860s_0001.txt
1860s_0002,1860s,british_library,1911,1860s/1860s_0002.txt
1860s_0003,1860s,british_library,1911,1860s/1860s_0003.txt
1860s_0004,1860s,british_library,1911,1860s/1860s_0004.txt
1860s_0005,1860s,british_library,1911,1860s/1860s_0005.txt
1860s_0006,1860s,british_library,1911,1860s/1860s_0006.txt
1860s_0007,1860s,british_library,1911,1860s/1860s_0007.txt
1860s_0008,1860s,british_library,1911,1860s/1860s_0008.txt
1860s_0009,1860s,british_library,1911,1860s/1860s_0009.txt
1860s_0010,1860s,synthetic,1061,1860s/1860s_0010.txt
1860s_0011,1860s,synthetic,2059,1860s/1860s_0011.txt
1860s_0012,1860s,synthetic,2055,1860s/1860s_0012.txt
1860s_0013,1860s,synthetic,2022,1860s/1860s_0013.txt
1860s_0014,1860s,synthetic,2076,1860s/1860s_0014.txt
1860s_0015,1860s,synthetic,2090,1860s/1860s_0015.txt
1860s_0016,1860s,synthetic,2090,1860s/1860s_0016.txt
1860s_0017,1860s,synthetic,2083,1860s/1860s_0017.txt
1860s_0018,1860s,synthetic,2048,1860s/1860s_0018.txt
1860s_0019,1860s,synthetic,2068,1860s/1860s_0019.txt
